Puzzle number	Algorithm	Heuristic	Length of solution	Length of search path	Execution Time (seconds)
1			UCS		NA		9				1505				 7.95
1			GBFS		h1		9				229				 0.81
1			GBFS		h2		9				229				 0.78
1			GBFS		h3		9				229				 0.84
1			GBFS		h4		9				220				 0.76
1			A\A*		h1		9				1199				 7.80
1			A\A*		h2		9				1199				 7.64
1			A\A*		h3		9				257				 0.93
1			A\A*		h4		9				823				 4.65

2			UCS		NA		5				665				 2.93
2			GBFS		h1		5				18				 0.06
2			GBFS		h2		5				18				 0.06
2			GBFS		h3		5				18				 0.06
2			GBFS		h4		5				18				 0.06
2			A\A*		h1		5				406				 2.13
2			A\A*		h2		5				406				 2.10
2			A\A*		h3		5				18				 0.06
2			A\A*		h4		5				333				 1.74

3			UCS		NA		7				26				 0.03
3			GBFS		h1		7				17				 0.02
3			GBFS		h2		7				17				 0.02
3			GBFS		h3		7				17				 0.02
3			GBFS		h4		7				13				 0.02
3			A\A*		h1		7				25				 0.03
3			A\A*		h2		7				25				 0.03
3			A\A*		h3		7				20				 0.02
3			A\A*		h4		7				25				 0.03

4			UCS		NA		6				440				 1.35
4			GBFS		h1		6				33				 0.08
4			GBFS		h2		6				33				 0.08
4			GBFS		h3		6				33				 0.08
4			GBFS		h4		6				19				 0.05
4			A\A*		h1		6				244				 0.83
4			A\A*		h2		6				244				 0.86
4			A\A*		h3		6				37				 0.09
4			A\A*		h4		6				204				 0.72

5			UCS		NA		8				7144				221.01
5			GBFS		h1		8				1198				 9.79
5			GBFS		h2		8				1198				 9.99
5			GBFS		h3		8				1198				 9.81
5			GBFS		h4		8				1099				 8.87
5			A\A*		h1		8				4383				104.44
5			A\A*		h2		8				4383				107.99
5			A\A*		h3		8				1486				17.85
5			A\A*		h4		8				4037				94.71

6			UCS		NA		6				1170				 5.75
6			GBFS		h1		6				99				 0.32
6			GBFS		h2		6				99				 0.32
6			GBFS		h3		6				99				 0.32
6			GBFS		h4		6				99				 0.32
6			A\A*		h1		6				609				 3.29
6			A\A*		h2		6				609				 3.30
6			A\A*		h3		6				108				 0.38
6			A\A*		h4		6				609				 3.28

7			UCS		NA		6				83				 0.17
7			GBFS		h1		6				17				 0.03
7			GBFS		h2		6				17				 0.03
7			GBFS		h3		6				17				 0.03
7			GBFS		h4		6				14				 0.02
7			A\A*		h1		6				57				 0.10
7			A\A*		h2		6				57				 0.10
7			A\A*		h3		6				19				 0.03
7			A\A*		h4		6				50				 0.09

8			UCS		NA		6				527				 1.92
8			GBFS		h1		6				24				 0.06
8			GBFS		h2		6				24				 0.06
8			GBFS		h3		6				24				 0.06
8			GBFS		h4		6				16				 0.04
8			A\A*		h1		6				341				 1.30
8			A\A*		h2		6				341				 1.27
8			A\A*		h3		6				24				 0.06
8			A\A*		h4		6				233				 0.88

9			UCS		NA		9				516				 2.02
9			GBFS		h1		13				121				 0.33
9			GBFS		h2		13				121				 0.35
9			GBFS		h3		13				121				 0.33
9			GBFS		h4		11				100				 0.27
9			A\A*		h1		9				423				 1.95
9			A\A*		h2		9				423				 1.92
9			A\A*		h3		12				121				 0.34
9			A\A*		h4		9				317				 1.48

10			UCS		NA		19				3570				26.39
10			GBFS		h1		23				2166				13.47
10			GBFS		h2		23				2166				13.61
10			GBFS		h3		23				2166				13.44
10			GBFS		h4		24				1763				10.38
10			A\A*		h1		19				3094				28.39
10			A\A*		h2		19				3094				28.47
10			A\A*		h3		19				2644				23.93
10			A\A*		h4		19				2817				24.94

11			UCS		NA		7				465				 1.41
11			GBFS		h1		8				71				 0.14
11			GBFS		h2		8				71				 0.14
11			GBFS		h3		8				71				 0.14
11			GBFS		h4		7				44				 0.08
11			A\A*		h1		7				371				 1.26
11			A\A*		h2		7				371				 1.26
11			A\A*		h3		8				76				 0.16
11			A\A*		h4		7				277				 0.98

12			UCS		NA		31				11130				337.62
12			GBFS		h1		41				4254				47.70
12			GBFS		h2		41				4254				49.02
